sample_id,task_id,risk_score,bsod_state,core_events,rk_events
238,238,10,NO,355,0
239,239,10,NO,1950,0
240,240,10,NO,6411,0
241,241,10,NO,382,0
242,242,10,NO,364,0
243,243,10,NO,6686,0
244,244,6,NO,76,0
245,245,10,NO,15109,0
246,246,10,NO,500,0
247,247,10,NO,747,0
248,248,10,NO,6425,0
249,249,10,NO,109,0
250,250,10,NO,15028,0
251,251,6,NO,76,0
252,252,10,NO,357,0
253,253,10,NO,530,0
254,254,10,NO,354,0
255,255,10,NO,3931,0
256,256,10,NO,6462,0
257,257,10,NO,354,0
258,258,10,NO,493,0
259,259,10,NO,22218,0
260,260,10,NO,306,0
261,261,10,NO,440,0
262,262,10,NO,336,0
263,263,10,NO,357,0
264,264,10,NO,9850,0
265,265,6,NO,76,0
266,266,10,NO,751,0
267,267,10,NO,510,0
268,268,10,NO,333,0
269,269,6,NO,76,0
270,270,10,NO,509,0
271,271,10,NO,5012,0
272,272,10,NO,321,0
273,273,10,NO,334,0
274,274,10,NO,4500,0
275,275,10,NO,357,0
276,276,10,NO,6619,0
277,277,6,NO,76,0
278,278,9,NO,3045,0
279,279,10,NO,1096,0
280,280,10,NO,388,0
281,281,10,NO,87,0
282,282,10,NO,658,0
283,283,10,NO,254,0
284,284,10,NO,47109,0
285,285,10,NO,331,0
286,286,10,NO,20740,0
287,287,10,NO,760,0
288,288,10,NO,354,0
289,289,10,NO,423,0
290,290,10,NO,350,0
291,291,6,NO,76,0
292,292,10,NO,164,0
293,293,6,NO,76,0
294,294,10,NO,237,0
295,295,10,NO,354,0
296,296,10,NO,424,0
297,297,9,NO,3579,0
298,298,6,NO,76,0
299,299,5,NO,14562,0
300,300,10,NO,12096,0
301,301,10,NO,426,0
302,302,10,NO,634,0
303,303,10,NO,1042,0
304,304,10,NO,355,0
305,305,10,NO,2106,0
306,306,6,NO,76,0
307,307,1,NO,Task Error,Task Error
308,308,9,NO,2152,7
309,309,10,NO,5979,0
310,310,10,NO,507,0
311,311,10,NO,17,0
312,312,10,NO,3355,0
313,313,10,NO,328,0
314,314,10,NO,398,0
315,315,10,NO,764,0
316,316,10,NO,2975,0
317,317,6,NO,77,0
318,318,6,NO,220,0
319,319,10,NO,476,0
320,320,10,NO,325,0
321,321,10,NO,1096,0
322,322,10,NO,2766,0
323,323,10,NO,600,0
324,324,10,NO,5763,0
325,325,6,NO,76,0
326,326,10,NO,6483,0
327,327,6,NO,76,0
328,328,10,NO,153,0
329,329,5,NO,1760,0
330,330,10,NO,642,0
331,331,10,NO,355,0
332,332,10,NO,7002,0
333,333,10,NO,4704,0
334,334,10,NO,5394,0
335,335,10,NO,6642,0
336,336,10,NO,458,0
337,337,10,NO,358,0
338,338,10,NO,356,0
339,339,10,NO,356,0
340,340,10,NO,758,0
341,341,10,NO,350,0
342,342,10,NO,3008,0
343,343,10,NO,3172,0
344,344,10,NO,4857,0
345,345,10,NO,5625,0
346,346,10,NO,167,0
347,347,10,NO,6355,0
348,348,10,NO,1142,0
349,349,6,NO,76,0
350,350,10,NO,597,0
351,351,10,NO,1136,0
352,352,10,NO,417,0
353,353,10,NO,473,0
354,354,10,NO,6064,0
355,355,6,NO,79,0
356,356,10,NO,7087,0
357,357,1,NO,Task Error,Task Error
358,358,10,NO,8829,0
359,359,10,NO,397,0
360,360,10,NO,355,0
361,361,10,NO,521,0
362,362,10,NO,42,0
363,363,6,NO,76,0
364,364,10,NO,425,0
365,365,10,NO,424,0
366,366,10,NO,263,0
367,367,10,NO,329,0
368,368,10,NO,377,0
369,369,8,NO,1371,0
370,370,10,NO,3662,0
371,371,10,NO,6312,0
372,372,10,NO,2421,0
373,373,10,NO,772,0
374,374,10,NO,494,0
375,375,10,NO,166,0
376,376,5,NO,9390,0
377,377,10,NO,289,0
378,378,10,NO,751,0
379,379,10,NO,995,0
380,380,10,NO,500,0
381,381,1,NO,Task Error,Task Error
382,382,10,NO,642,0
383,383,10,NO,527,0
384,384,10,NO,7252,0
385,385,10,NO,493,0
386,386,10,NO,473,0
387,387,9,NO,3583,0
388,388,10,NO,1269,0
389,389,10,NO,354,0
390,390,10,NO,13749,0
391,391,10,NO,354,0
392,392,10,NO,5760,0
393,393,10,NO,112,0
394,394,10,NO,841,0
395,395,10,NO,3298,0
396,396,10,NO,14473,0
397,397,10,NO,4150,0
398,398,6,NO,76,0
399,399,10,NO,333,0
400,400,10,NO,5155,0
401,401,10,NO,393,0
402,402,10,NO,355,0
403,403,10,NO,548,0
404,404,10,NO,358,0
405,405,10,NO,330,0
406,406,10,NO,16140,0
407,407,7,NO,786,0
408,408,10,NO,452,0
409,409,6,NO,101,0
410,410,6,NO,76,0
411,411,10,NO,360,0
412,412,10,NO,15223,0
413,413,10,NO,3373,0
414,414,10,NO,330,0
415,415,10,NO,642,0
416,416,10,NO,354,0
417,417,10,NO,112,0
418,418,10,NO,9112,0
419,419,10,NO,7183,0
420,420,10,NO,371,0
421,421,1,NO,Task Error,Task Error
422,422,10,NO,355,0
423,423,10,NO,496,0
424,424,10,NO,476,0
425,425,10,NO,16710,0
426,426,10,NO,362,0
427,427,9,NO,471,0
428,428,10,NO,6646,0
429,429,10,NO,337,0
430,430,10,NO,289,0
431,431,10,NO,5186,0
432,432,10,NO,360,0
433,433,10,NO,356,0
434,434,10,NO,5874,0
435,435,10,NO,356,0
436,436,10,NO,473,0
437,437,7,NO,5349,0
438,438,10,NO,24160,0
439,439,10,NO,23004,0
440,440,10,NO,113,0
441,441,9,NO,212,0
442,442,10,NO,6762,0
443,443,10,NO,11675,0
444,444,10,NO,7109,0
445,445,10,NO,353,0
446,446,10,NO,371,0
447,447,10,NO,6695,0
448,448,10,NO,355,0
449,449,10,NO,334,0
450,450,10,NO,502,0
451,451,10,NO,354,0
452,452,10,NO,135,0
453,453,10,NO,7228,0
454,454,10,NO,605,0
455,455,10,NO,330,0
456,456,10,NO,421,0
457,457,10,NO,492,0
458,458,10,NO,3416,0
459,459,6,NO,439,0
460,460,10,NO,330,0
461,461,10,NO,6536,0
462,462,10,NO,279,0
463,463,10,NO,420,0
464,464,10,NO,1269,0
465,465,10,NO,644,0
466,466,10,NO,7012,0
467,467,10,NO,165,0
468,468,10,NO,354,0
469,469,10,NO,321,0
470,470,6,NO,4067,0
471,471,6,NO,76,0
472,472,10,NO,4728,0
473,473,10,NO,2301,0
474,474,10,NO,737,0
475,475,10,NO,549,0
476,476,6,NO,101,0
477,477,10,NO,6383,0
478,478,10,NO,844,0
479,479,10,NO,361,0
480,480,10,NO,320,0
481,481,10,NO,3356,0
482,482,6,NO,76,0
483,483,10,NO,668,0
484,484,10,NO,160,0
485,485,10,NO,372,0
486,486,10,NO,8466,0
487,487,10,NO,7180,0
488,488,10,NO,87,0
489,489,10,NO,494,0
490,490,10,NO,12919,0
491,491,10,NO,4005,0
492,492,10,NO,13340,0
493,493,10,NO,1759,0
494,494,6,NO,76,0
495,495,10,NO,255,0
496,496,10,NO,20197,0
497,497,10,NO,775,0
498,498,10,NO,474,0
499,499,10,NO,324,0
500,500,10,NO,7130,0
501,501,10,NO,330,0
502,502,10,NO,10167,0
503,503,10,NO,417,0
504,504,10,NO,318,0
505,505,10,NO,356,0
506,506,10,NO,6497,0
507,507,10,NO,9822,0
508,508,10,NO,579,0
509,509,10,NO,287,0
510,510,10,NO,330,0
511,511,10,NO,355,0
512,512,10,NO,321,0
513,513,10,NO,353,0
514,514,10,NO,472,0
515,515,10,NO,7076,0
